biblio_id;judul_buku;kode_ddc;ddc_bersih;program_studi_ddc;program_studi_prediksi;confidence;multilabel_list
1;3000 huruf mandarin;495.1;495;Umum;Umum;100.0;Umum
2;302 Rangkaian Elektronika;621.381;621;Teknik Elektro;Teknik Elektro;100.0;Teknik Elektro
3;36 kesalahan terbesar para penjual;380.1;380;Administrasi Niaga;Administrasi Niaga;88.16;Administrasi Niaga
4;40 Manfaat Shalat Berjamaah;297.2;297;Umum;Umum;100.0;Umum
5;A guide to graphic print production;006.6;6;Teknik Informatika & Komputer;Teknik Grafika & Penerbitan;89.6;Teknik Grafika & Penerbitan
6;A Practical english course;425;425;Umum;Umum;100.0;Umum
7;A Tale from Lombok : Danawasari;42.649;649;Umum;Umum;100.0;Umum
8;A user's guide to electrical PPE;621.319;621;Teknik Elektro;Teknik Elektro;92.94;Teknik Elektro
9;Accounting principles : Pengantar akuntansi buku 1;657;657;Akuntansi;Akuntansi;100.0;Akuntansi
11;Administrasi Kepegawaian;351.1;351;Umum;Umum;63.96;Umum, Administrasi Niaga
12;Advanced Engineering Economics;65815;658;Administrasi Niaga;Administrasi Niaga;97.82;Administrasi Niaga
13;Ahli sunnah meryawali ahmadiyah;297.86;297;Umum;Umum;100.0;Umum
14;Ajaran Mahatma Gandhi;923.2;923;Umum;Umum;100.0;Umum
15;Akuntansi Biaya;657.42;657;Akuntansi;Akuntansi;98.09;Akuntansi
16;Akuntansi Biaya : Perencanaan Dan Pengendalian;657.42;657;Akuntansi;Akuntansi;96.66;Akuntansi
17;Akuntansi biaya jilid 1;657.42;657;Akuntansi;Akuntansi;100.0;Akuntansi
18;Akuntansi intermediate;657.044;657;Akuntansi;Akuntansi;97.42;Akuntansi
20;Akuntansi Keuangan lanjutan;657;657;Akuntansi;Akuntansi;100.0;Akuntansi
21;Akuntansi manajerial : Suatu pengantar;657;657;Akuntansi;Akuntansi;84.08;Akuntansi, Administrasi Niaga
22;Angel of mine;813;813;Umum;Umum;100.0;Umum
23;Antena weirless...;621.382 4;621;Teknik Elektro;Teknik Elektro;93.32;Teknik Elektro
24;Apics training aid : Inventory management an introduction;658.5;658;Administrasi Niaga;Administrasi Niaga;100.0;Administrasi Niaga
25;Aplikasi program terintegrasi dengan VB 6.0;005.74;5;Teknik Informatika & Komputer;Teknik Informatika & Komputer;99.72;Teknik Informatika & Komputer
26;Aplikasi web dengan PHP dan Mysql;004.678;4;Teknik Informatika & Komputer;Teknik Informatika & Komputer;100.0;Teknik Informatika & Komputer
27;Aqidah ahlussunah wal jamaah;297.5;297;Umum;Umum;100.0;Umum
28;Arsitektur;721;721;Teknik Grafika & Penerbitan;Teknik Grafika & Penerbitan;94.79;Teknik Grafika & Penerbitan
29;Auditing;657.45;657;Akuntansi;Akuntansi;100.0;Akuntansi
30;Australia traineeship system : Occupational health and safety;363.11;363;Umum;Umum;99.37;Umum
31;Automotive control engineering;629.8;629;Teknik Mesin;Teknik Mesin;82.45;Teknik Mesin, Teknik Informatika & Komputer
32;Banking and finance on the internet;332;332;Akuntansi;Akuntansi;93.27;Akuntansi
33;Basic and applied thermodynamics;536.7;536;Teknik Elektro;Teknik Elektro;91.32;Teknik Elektro
34;BAsic Engineering circuit analysis;621.319 2;621;Teknik Elektro;Teknik Elektro;100.0;Teknik Elektro
35;Basic Hidrolics;627.042;627;Teknik Sipil;Teknik Sipil;78.4;Teknik Sipil, Teknik Mesin
